iter	Logloss
0	0.671360167
1	0.6575484306
2	0.6437299971
3	0.6336790456
4	0.6242623375
5	0.6181438974
6	0.6116783317
7	0.6048726974
8	0.6003550896
9	0.5961251341
10	0.5904167413
11	0.5865888163
12	0.5838262186
13	0.5797244829
14	0.5764567348
15	0.5719648795
16	0.5683799985
17	0.5649656879
18	0.5612079238
19	0.5591447102
20	0.5564812138
21	0.5541968023
22	0.5519678073
23	0.5490932433
24	0.5470958037
25	0.545358757
26	0.5429252144
27	0.541811231
28	0.5401789056
29	0.5387433572
30	0.5362248234
31	0.5348129992
32	0.5318150754
33	0.5292712245
34	0.5266177294
35	0.5255154412
36	0.5244853738
37	0.5230158906
38	0.5206578494
39	0.5195302249
40	0.5176821357
41	0.5162428473
42	0.5147908465
43	0.5128705389
44	0.5111027883
45	0.5104241032
46	0.5092116077
47	0.5072051477
48	0.5056092357
49	0.5041086817
50	0.5034393664
51	0.5022032924
52	0.5011854656
53	0.5002939226
54	0.4995204615
55	0.4973919129
56	0.4966267017
57	0.495512553
58	0.4949684315
59	0.4937626946
60	0.4927517254
61	0.4914689999
62	0.4900882817
63	0.4894822006
64	0.4886325737
65	0.4875279162
66	0.4865184096
67	0.4852197688
68	0.4844283075
69	0.4833603631
70	0.4821223725
71	0.480658075
72	0.4797704274
73	0.4785158837
74	0.4776484137
75	0.4768830699
76	0.476010601
77	0.4747567238
78	0.4734539877
79	0.4724331083
80	0.4707275683
81	0.4698834442
82	0.4694251264
83	0.4687352737
84	0.467395706
85	0.4659671631
86	0.4648315611
87	0.4636050023
88	0.4628478706
89	0.4619825605
90	0.4611759016
91	0.4598490094
92	0.4589061064
93	0.4577138547
94	0.4571982969
95	0.4565266988
96	0.4553948294
97	0.454292291
98	0.4531713051
99	0.4517280782
100	0.4506670436
101	0.4498914447
102	0.4492908238
103	0.4474950987
104	0.4464984763
105	0.4456350935
106	0.4447934804
107	0.4439479414
108	0.4434142927
109	0.4420673086
110	0.4414720855
111	0.4402234749
112	0.4390969635
113	0.4379218514
114	0.4365561154
115	0.4354836558
116	0.4346896565
117	0.4333610929
118	0.4325313791
119	0.4317202618
120	0.431080044
121	0.4304454066
122	0.4295819202
123	0.4281930446
124	0.4271467927
125	0.4261903528
126	0.4251806965
127	0.4241375518
128	0.4232741094
129	0.4223905555
130	0.4216805896
131	0.4204075119
132	0.4191228947
133	0.4185231354
134	0.4173814731
135	0.416662443
136	0.4160241379
137	0.4151335023
138	0.4140521527
139	0.4132793482
140	0.4125253902
141	0.4117352425
142	0.4108527414
143	0.409767207
144	0.4090040753
145	0.4081621748
146	0.4073297075
147	0.4062244141
148	0.4053382549
149	0.4044089962
150	0.403808189
151	0.4028475942
152	0.4020282368
153	0.4014656595
154	0.4006566214
155	0.4002106598
156	0.3997313304
157	0.3990562135
158	0.3984364225
159	0.3973088122
160	0.396060164
161	0.3952500481
162	0.3947297714
163	0.3939263015
164	0.3931493238
165	0.392340083
166	0.3915711234
167	0.3907164737
168	0.3898661033
169	0.3893799387
170	0.3886609206
171	0.3877096264
172	0.3867318245
173	0.3858638081
174	0.3849085326
175	0.3841301019
176	0.3831957705
177	0.3826361006
178	0.3816726974
179	0.381031628
180	0.3802486434
181	0.3795990747
182	0.3788456352
183	0.3782527569
184	0.3772200629
185	0.3766594244
186	0.3761252844
187	0.3754977569
188	0.3750250149
189	0.3743096571
190	0.3739979522
191	0.3735943653
192	0.3729216738
193	0.3720689406
194	0.3715511747
195	0.3709087817
196	0.3703942706
197	0.369438952
198	0.368530131
199	0.3676799201
