iter	Passed	Remaining
0	7	1416
1	12	1265
2	18	1231
3	23	1155
4	27	1090
5	33	1083
6	38	1052
7	42	1028
8	48	1022
9	52	1003
10	57	996
11	63	987
12	68	978
13	72	968
14	77	957
15	82	950
16	87	946
17	92	936
18	97	932
19	102	924
20	108	921
21	113	917
22	118	914
23	124	911
24	128	901
25	133	894
26	138	888
27	143	882
28	148	875
29	154	873
30	159	868
31	164	864
32	169	857
33	174	850
34	179	845
35	185	844
36	189	835
37	194	828
38	199	822
39	203	815
40	208	809
41	213	804
42	218	796
43	223	794
44	229	790
45	234	785
46	239	778
47	243	772
48	249	768
49	254	762
50	259	757
51	264	752
52	269	747
53	273	740
54	278	734
55	283	728
56	288	723
57	293	718
58	298	712
59	302	706
60	308	702
61	312	696
62	317	690
63	322	685
64	327	681
65	333	676
66	337	670
67	343	666
68	348	662
69	353	656
70	358	651
71	363	646
72	368	640
73	373	636
74	378	631
75	384	626
76	388	620
77	394	616
78	399	612
79	405	607
80	410	602
81	415	597
82	420	592
83	425	587
84	443	600
85	450	596
86	457	593
87	464	590
88	469	586
89	474	580
90	480	575
91	484	569
92	489	562
93	494	557
94	499	551
95	503	545
96	508	539
97	513	534
98	518	529
99	523	523
100	528	518
101	533	512
102	537	506
103	542	501
104	548	496
105	553	491
106	559	485
107	564	481
108	569	475
109	574	470
110	579	464
111	584	459
112	589	453
113	594	448
114	599	443
115	604	437
116	610	432
117	615	427
118	620	422
119	626	417
120	631	412
121	636	406
122	641	401
123	646	396
124	650	390
125	655	385
126	661	380
127	666	374
128	671	369
129	676	364
130	680	358
131	686	353
132	690	347
133	695	342
134	700	337
135	705	331
136	710	326
137	715	321
138	719	315
139	725	310
140	730	305
141	735	300
142	740	295
143	745	289
144	750	284
145	755	279
146	760	274
147	765	268
148	770	263
149	774	258
150	779	252
151	784	247
152	790	242
153	795	237
154	800	232
155	804	227
156	809	221
157	814	216
158	820	211
159	825	206
160	831	201
161	839	196
162	845	191
163	849	186
164	854	181
165	859	176
166	864	170
167	870	165
168	876	160
169	880	155
170	885	150
171	890	145
172	895	139
173	900	134
174	904	129
175	909	124
176	914	118
177	919	113
178	924	108
179	929	103
180	934	98
181	939	92
182	944	87
183	949	82
184	953	77
185	958	72
186	963	67
187	968	61
188	973	56
189	978	51
190	983	46
191	987	41
192	992	36
193	997	30
194	1002	25
195	1007	20
196	1012	15
197	1017	10
198	1023	5
199	1029	0
